	评论
12	此用户没有填写评论!
13	电脑很流畅不卡顿 分辨率很棒
14	整体来说非常好，大小挺合适。清晰度也非常好，就是不知道拿回来，从拿对我买的是不是512固态硬盘和16G运行的电脑？
15	很好，正品，可以放心购买
16	电脑质量很好，全新的没有垃圾广告，音质很好没杂音，运营速度快，客服态度超好，电脑性价比高，满意好评
17	推荐我用来办公很好用
18	用着很不错，推荐购买。
19	现在都挺好的尤其是 外表很好看 等几天后回来再评论
20	笔记本电脑。质量很好，满意
21	质量很不错！用着比较满意
22	已收到，送的有线鼠标、充电器、鼠标垫、键盘膜
23	东西很不错哈，包装神的的都挺好，办公用，确实挺好用的
24	画质清晰，外行好看，非常流畅
25	笔记本电脑开机迅速，按键灵敏，播放视频高清流畅，感觉物有所值，原机自带键盘防尘膜和屏幕保护膜。
26	宝贝收到了，物流很快，客服态度也很好，很完整。清晰度也很高。
27	外观材质：电脑看起非常有质感，做工精细，颜色也好看 显卡效果：非常流畅，用了一段时间了，整体来说非常满意
28	键盘很有手感，价格也很亲民，适合办公学习使用，对得起这个价格，售后也很热情，提供技术支持
29	外观好看，是我喜欢的
30	物流快，质量很好，价钱比实体店便宜，值得购买
31	可以的话千万不要买这家   十几天直接黑屏  过了7天退不了只能自认倒霉  最后找客服介入也只换了一台  换了新的一台寄过来包装没有塑封  整个大无语 别买 ！别买！别买！  花点时间看看这家的评价看看问答   大部分都不好 不止机子辣鸡  客服态度也厉害的很 最后强调  千万别买！！！
32	愉快的一次购物
33	服务太差了回复又慢
34	目前来说挺好用的。
35	刚开始用非常好用
36	笔记本外观简洁优美，颜色好看让人耳目一新的感觉，摸起来又舒服。画质效果满分，运行顺畅，办公方便，很不错的购物体验
37	质量很好物流也很快
38	物廉价美，经济适用，值的买。用起来总体还可以。
39	此用户没有填写评论!
40	电脑超级漂亮，很薄很轻，开机速度超快，价格太实惠了，就是硬盘没有分区，其他都非常满意，愉快的一次购物，好评！
41	价格很便宜 屏幕显示比较清晰  15.6寸刚刚好用 机身比较轻薄
42	这个颜色很喜欢，摸起来质感不错，包装也很大气，屏幕大看追剧必备
43	电脑收到很满意运行速度很快。
44	电脑非常漂亮大气  超薄本携带超级方便，朋友介绍过来的 很好用  办公打游戏一点毛病没有  ！！
45	很喜欢这个中国红，电脑运行速度很快，轻薄携带方便，平时出差什么的可以随意带
46	质量还是不错的很好用，上网的时候也不卡顿很流畅，大小刚好合适清晰度可以，值得购买
47	此用户没有填写评论!
48	刚收到货迫不及待的打开，一看是我比较喜欢的款式，银色非常的高端大气上档次，很适合办公，追剧这些也非常的方便
49	挺好的，还行。
50	真心可以，
51	电脑清晰感应不错
52	电脑整体效果看起来挺时尚的，都是金属面板。显示屏升级的4K的，色彩挺满意。单纯的用用表格，写资料，看电影啥的没有问题。
53	电脑非常好，性价比贼高，物美价廉，运行扛扛的，机身小巧携带方便，适合出商务办公，值得推荐
54	电脑刚到，没时间用，看着还不错。
55	好用质量很好，满意
56	已经收货了了，物流很快，包装的也很好
57	满意，外观不错，性价比高
58	此用户没有填写评论!
59	电脑收到了，很完美的一次购物，物品与商家描述的也一致，下次有需要会再次购买
60	电脑运行挺快的，包装非常结实，保护得很好，值得好评
61	包装完好无损  办个公一点不卡的 价格相比实体店也实惠 满意的 五星好评
62	拉丝银外观漂亮，快速开机，运行流畅，家用，学习都没问题
63	开机很快，特别薄，手感不错，红色的很喜庆，看电视办公操作起来都很快
64	运行速度快 物美价优
65	首先要说的是这款笔记本电脑的外观是我非常非常喜欢的，其次要说的是这款笔记本电脑的性能还是非常非常不错的，屏幕色彩也是非常清晰 这款笔记本电脑开机的速度是7-8秒，装完软件是12秒，还是非常符合我的要求的。再次要说的就是这款笔记本电脑的耐用性，是我很期待的。
66	下载的软件竟然安装不了，要去电脑店修，
67	物流很快，实用运行快，物美价廉，值得购买
68	挺好的，买给孩子的，客服态度也挺不错的，耐心解答，满意
69	颜色超级漂亮，是需要的中国红，运行速度快，办公追剧爽歪歪。赞，必须好评！
70	此用户没有填写评论!
71	包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们
72	开机速度很快，客服小姐姐也很热心讲解，有问必答，还送了键盘膜和鼠标，鼠标垫，物流也很快，腊月二十七下单，二十九就到了，真心不错！
73	非常好的购物体验，性价比超高！推荐购买！
74	运行稳定，各方面都比较满意。主要是性价比好，这个价位区间可以的。可以背上愉快出差了。
75	电脑外观设计好看，颜色漂亮 ，性能可以买来主要是办公用的，15.6的轻薄手感舒适。
76	目前看，尚可，性价比比较高，用一段时间看看吧！
77	超强待机，有了几天也不卡，看电视，帮公在家也方便，在也不用一直在公司加班好久才回家了，银色的也好看😊
78	第二次购买，推荐给了朋友，办公很好
79	本本款式新颖，髙清屏幕指纹解锁，价廉物美，运行内存很快一点都不卡顿，关键是客户很好，百问百答。
80	此用户没有填写评论!
81	特别好用真的，速度快，屏幕分辨率高看着特别清晰，这价格太值了，简直就是yyds，喜欢的可以入手，个人觉得很超值，送货速度快
82	此用户没有填写评论!
83	抱着试试看的心态买的，结果还蛮不错的。性价比高，买到就是赚到。商家真的做到了物美价廉，真的非常推荐上班族学生族使用。散热性好，分辨率很高
84	下单顺丰第二天就收到了，很喜欢全新正品，开机很快，使用了一个星期才来评价，核显：玩LOL没问题，办公也实用，这个价格是我买过最满意的电脑了。强烈推荐，还有客服也很到位。
85	服务满到位的，收到电脑时系统已安装好还有常用办公软件。主要孩子学习用，非常喜欢。使用便捷。祝生意兴隆！
86	外观材质：不错很靓。值得拥有
87	到货很快，外观款式简洁大方，上网流畅，得心应手，必须好评！
88	使用了两天才来评论，感觉还是可以的，反应速度和屏幕清晰度，家庭使用，看视频写文档都可以的，游戏没试过
89	其他特色：第一次购买，有很多不清楚，客服也很有耐心的回复，非常愉快的购物 外观材质：外观非常棒，没有损坏 显卡效果：显示非常的清楚 电脑性能：性能也很好
90	第一次买电脑纠结了好久，客服师妃暄非常耐心的解决我这个电脑小白的问题，发的顺丰快递正好放假回家就拿到了，作为学生党用来刷网课什么完全够用
91	外观看上去高档贵气，运行流畅内存容量很大
92	收到货第二天了，用起来整体不错，挺顺畅的，性价比高，希望用起来之后会一直这么好， 电脑性能：整体都不错。 外观材质：可以。
93	这款电脑质量很好，轻薄小巧方便携带，运行速度快，内存空间够大，很喜欢。
94	物流快递很快。昨天刚下单。第二天就送到了。还送了鼠标和鼠标垫。免费升级4k屏幕。看电影很清晰。整体来说很满意。
95	我觉得可能真是一分钱一分货，用来玩游戏还是有点卡顿和延迟，打游戏还是不推荐。
96	不错，喜欢，性价比高，以后会经常光顾
97	物流很快第二天就到了，电脑正品外观时尚漂亮，效果很好，售后认真负责，很有耐心讲解，谢谢。
98	上网快屏幕清晰，款式新颖时尚，携带方便非常满意
99	笔记本外观漂亮，颜色高档好看，显卡特棒，这价格入手值了。
100	电脑颜色非常正，是我喜欢的红色，本子用起来也很棒，特别是客服芈月很棒呦，有问题芈月都能够及时回复和帮助解决，希望一如既往地好下去
101	其他特色：指纹解锁 客服的态度很好，点赞 外观材质：金属机身 显卡效果：清晰 电脑性能：强悍
102	其他特色：快递发的顺丰两天就到货了，这个价位买到感觉性价比还是很高的。目前用起来都还是蛮好的。除了我自己家的网络有一丢丢慢。等用一段时间以后还会再追评的。
103	很不错哦，中国红颜色很好看，不卡顿内存够大，轻薄携带方便，爱了
104	一直犹豫很久才决定下单，今天收到快递啦，包装无损，咨询客服也很耐心，回复很多疑惑的问题，电脑内存处理超快，鼠标反应超强，对于这个看剧的伙伴可以值得入手。
105	东西收到了，急不可待的打开看了看，不错，&ldquo;芈月&rdquo;服务很好哈
106	挺好的！办公，够了！
107	刚到货就用了，机器不错看视频上网很流畅，准备过两天试试一些大众游戏看看，能不能消遣一下时间
108	其他特色：老婆非常满意 外观材质：舒服 显卡效果：可以 电脑性能：快，音质很好，售后服务很好，秒回
109	画面很清晰，运行速度快很流畅，不错
110	卡  新电脑  第一次用它看视频  卡到怀疑人生  伴随滋啦滋啦的  服气了
111	很不错，不卡顿颜值高
112	此用户没有填写评论!
113	速度很快宝贝很漂亮客服态度也很好
114	笔记本电脑与描述一样，发货快，物流服务非常好，卖家客服的服务态度也非常好，送了键盘膜和鼠标和鼠标垫
115	电脑性能强，内存大，外观精致，送人自用都是不错的。
116	宝贝收到很满意，价格公道，物美价廉
117	此用户没有填写评论!
118	其他特色：开机快目前，运行稳定 外观材质：塑料 显卡效果：可以，没有延迟卡顿 电脑性能：目前没问题，电池续航连续大概3.5小时
119	非常感谢非常漂亮商品不错
120	此用户没有填写评论!
121	货真价实，值得买
122	还不错，物超所值
123	此用户没有填写评论!
124	电脑收到了，这个颜色是我喜欢的颜色，容量够大，运行很快，满意的一次购物
125	3天就收到本本了，客服很耐心解筨问题，本本是银色的很漂亮，屏幕很大手感非常好，活动免费升级的4k屏，性价比很高，推荐购买
126	外形轻盈，屏幕色彩鲜艳，没有缺陷，开机速度快，检测配置一致，非常好
127	此用户没有填写评论!
128	电脑到了，白色的，颜值感觉还是很不错的，至于内置如何，还没有试验，应该感觉还可以吧，毕竟老牌子电脑
129	外观材质：外观很好看，非常喜欢。 电脑性能：电脑储存和内存都很大，不会卡屯，显示效果也很好，4K显示屏非常清晰，客服的服务态度也非常的好，愉快的一次购物！
130	非常好用，好看，开机速度超级快！性价比很高，公司人手一个，现在有活动也很便宜，超级爱这个笔记本，忠实客户，会经常购买的！
131	此用户没有填写评论!
132	玩大型游戏不卡顿，携带方便，内存大，运行快，强列推荐
133	服务好发货快，款式新颖好用实惠，值得拥有！
134	开机启动很快，画画清晰音质流畅工作、玩游戏都可以满足，真心不错
135	此用户没有填写评论!
136	此用户没有填写评论!
137	运行很流畅，银色很漂亮，质感很好，自用内存够
138	物流快，固态硬盘还行，显卡极差N年前的，如果有玩游戏的朋友就别考虑了
139	很不错👍个人觉得很好
140	这个本本我很满意，刚好春节可以带着到处走亲戚，还不耽误工作。
141	电脑收到了，春节不打烊服务到位。过年在家用上了，玩游戏一点都不卡运行很快，颜值高性价比高
142	电脑不错上网流畅，外观简洁大方，满意！
143	不错，好用，性价比高
144	"非常不错的一次购物，性价比超高，开机30秒内，玩什么都比较顺畅。 其他特色：性价比超高 外观材质：材质默写非常有手感 显卡效果：显示支持4K 电脑性能：开了几十个网页CPU占用不足10%,看4K电影为比较顺畅，玩游戏也不卡"
145	发货很快，运行也很快
146	此用户没有填写评论!
147	物流非常快，收到电脑就开始试用了，操作体验很好，包括外观颜值也很好，真的是性价比很高。
148	很好看，电脑好，在家给我爸爸看股票玩QQ游戏的，很快够用了，服务也好，有几个问题不大会用新的电脑，回复很快很专业，很推荐
149	小可爱今天上午刚刚到家，银色在是我想要的，物流很快，后台服务要非常好，很满意，物美价廉！下次还会买。
150	运行流畅不卡顿，材质外观也不错，价格合理很满意
151	电脑不错，中国红看着就喜庆，办公什么的都挺好用。
152	客服服务好，美观大方，实用
153	首先，表白一个客服真的太好了。电脑小白，一直耐心教我。非常感谢露娜姐和狂铁哥。好人一生平安价格实惠
154	笔记本很快收到，用了几天才来评价，颜值高运行速度快，整体都很满意
155	购买了有一段时间了，收到就使用上了，这几天下来所看到的效果还不错的，自己使用过后的所看到的结果，挺好用的！
156	刚收到货的时候声音滋啦滋啦有杂声，开关机重新启动发现屏幕上面有光点，售后直接回了一句不影响使用真是醉了，强烈建议大家不用再购买，好心情没弄到弄了个心塞，郁闷，退货快递一直说没收到商家的下单，迟迟不处理
157	电脑屏幕中间有洞  屏幕漏光  黑屏更明显  播放器的声音驱动器也没有装
158	笔记本收到了质量特别好网速快不卡顿而且页面立体清晰很不错物美价廉
159	发货很及时，包装的严实，外观时尚漂亮，春节在家游戏打起，速度很快，内存大，很好用。
160	此用户没有填写评论!
161	已经收到货了，立马就试了一下，总体都非常满意，价格也很实惠，值得推荐，有需要下次还会再来光顾的
162	快递物流很快。。。。刚装好，颜色好看，新机不错😄。送的鼠标和鼠标垫。。。。装机比较快
163	一次不错的购买，好用。
164	第一次买的电脑，挺好的，刚好新的一年红红火火，嘿嘿本命年红色挺好的。祝生意兴隆哈哈
165	用了一段时间才来评价，平时不用这个玩游戏也不知道游戏性能怎么样，不过用来看视频或者办公确实可以，不卡开机也快，性价比真的高，就是屏幕有点大了。适合学生党  可以入手试试
166	电脑收到了，目前使用没有什么问题，电脑也顺畅的，质感也是可以的，网络好的话，速度都是ok的，客服态度也很好，都很耐心的解答的嗯，再使用一段时间看看，需要的话可以入手试试的哦
167	发货很快，颜色很正，太喜欢啦，谢谢卖家推荐
168	比较喜欢这款本本，很适合女生，价格实惠，运行快
169	包装严实。运行速度快，价格比实体店优惠。没什么可挑剔的，5分。
170	非常不错，轻薄，还细心的给了个键盘膜，以后可以考虑用户需求安装部分软件，真心喜欢，还是真不错
171	外观很时尚，使用非常流畅，显示清晰，不用担心售后问题，完全超出预期
172	电脑收到啦，电脑很漂亮物流也很给力客服阿古朵服务很好。
173	还行耗电有点快。
174	还行吧，手感也挺好的，不错哦，价格也挺实惠，跟他们评论的也一样，强烈推荐哦
175	很漂亮的电脑。很实用。好评
176	收到货了，很不错，卖家服务态度很好，
177	给力，笔记本很快收到了，质量不错，试一下，上网打游戏啥都没有问题，挺快的！
178	此用户没有填写评论!
179	平板电脑质量好，款式，颜色好看，上网速度快，非常好
	评论
0	此用户没有填写评论!
1	速度很流畅，办公日常用完全没问题，小游戏也可以吼得住不错
2	买回来就打开用了，玩游戏不卡很流畅，非常喜欢
3	笔记本颜值高，运行速度快，中国红很漂亮
4	排行榜第一，应该不错，刚到电脑被朋友看上买去了
5	买给孩子网课用的，使用起来很流畅，卖家发货很快，收到没破损，满意
6	电脑质量不错，价格比实体店优惠多了，外观好看，很顺畅
7	质量很好，物流很快，客服态度很好
8	笔记本电脑很不错，质量很好反应快，款式好看性能配置都好，很满意
9	电脑外形很好看，简单大方，使用起来非常灵活，快递速度快，卖家老板服务态度很好，会认真解答问题，很有耐心～值得购买！值得推荐！
10	产品非常好。
11	戴睿牌子的电脑质量值得信赖，卖给孩子学习用的，用了一段时间了，网速快，质量好
12	发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评~
13	此用户没有填写评论!
14	外观高端大气，服务好有耐心，质量不错用起来顺手网速快，值得分享
15	性能挺好！！！！！！！！
16	话不多说，就是满意，满意！
17	发货速度快，买来送给孩子的生日礼物，他很喜欢，用来学习打游戏办公都可以。
18	结实好用，速度快，价格适中，满意值得入手
19	用得很顺手，运行也挺好，电脑外形很漂亮 ，物流也很给力就好了，卖家还送了礼物几件礼物，值得推荐。
20	货收到了，整体设计很好，功能齐全，触屏灵敏，喜欢
21	发货很快了，物美廉价，戴睿笔记本电脑值得信赖，有什么问题客服都会第一时间帮我解决，实在是良心卖家，值得推荐。
22	确实还挺快。目前没有什么问题，也不太懂电脑，主要是日常办公，应该是没有什么问题，还送了很多东西。基本不需要再额外买了，物流也很快。值得推荐
23	平板质量非常好，运行速度快，与卖家描述一致，很满意的一次购物
24	此用户没有填写评论!
25	非常满意的一次购物，开机快，播放电影，快进不卡顿。值得购买
26	包装仔细，没有磕碰哦，电脑己装好，满意
27	电脑收到了，开机速度快，颜值很好，运行流畅挺不错的！
28	物超所值和想象中一样的，主要是质量挺好的 ，推荐
29	无预装软件。一言难尽的赠品。用于办公还行 ，电池够1小时左右。玩2d小游戏还可以。大型游戏画质高会掉帧。
30	电脑款式好看，玩游戏也不卡顿，键盘非常灵敏，非常喜欢
31	笔记本电脑很漂亮，使用很顺手，客服态度很热情，包邮的顺丰快递非常快，很满意的一次购物，全五分
32	电脑收到了，非常好，很流畅不卡顿，值得推荐
33	第一台电脑戴睿产品性价比非常高 店家服务质量也非常棒 值得购买 客服人员也非常好
34	体验感非常差，不完游戏，只是看看电视电影，但是任何播放器开到超清画质就会卡别说4k了只是看看电影而已人画不合一，卡顿看电影，其他功能更不能用了，慎重购买！！！！
35	收到电脑了很激动，但对电脑不熟悉，咨询客服很耐心，一一解答不懂之处，非常感谢
36	收到就快快打看了一下，性价比很高，值得推荐，高端大气上档次，散热性能：很棒。外观也大气，带出门也有面。笔记本配置没一点水份，和客服介绍的一样，客服也非常有耐心 解答问题。包装也很到位，会必须五星好评，感觉很好，值得 推荐购买
37	赞赞赞👏👏👏跟描述的是一样的，要买的朋友可以下单噢！
38	孩子初三了，在家里网课，就给他备了笔记本电脑，这样方便很多
39	这台电脑超级好用，价廉物美，值得拥有！
40	电脑性能：性能不错，不卡，运行流畅，内存大，颜色好看！
41	内存空间很大，运行速度快，手感很好，值得购买！
42	已经用上几天了，质量真的很好，屏显清晰，不卡机，满意
43	物流很快，电脑很顺畅，音质很好。好评
44	很喜欢，刚回来就开机了，很好，和介绍的一样，比较不错的一次购物，
45	电脑配置高，用着很流畅，散热也很好。
46	收到了，感觉还不错，只是用来办公的，偶尔追追剧，不打游戏，应该是够用的了，试试用再来追评吧。客服态度也挺好的👌
47	开机速度挺快的，屏幕也不错，一个普通手机价格买到的电脑感觉还不错
48	跟原图一样 电脑很薄 ， 屏幕很大  开机舒服也很快 我特意用了两天才评论  一般的办公看电影绝对够使  待机时间也很长   希望可以多用段时间  以后还会回购的
49	电脑性能：以为便宜游戏啥的会带不起来，完全能带动  客服态度很好，发货速度很快，总体来说这个价格，买个这个配置，性价比非常高，暂时没发现什么其他缺点。
50	全屏播放视频是真的卡，其他都行，显卡真不行。说给送的整点礼物也没到。客服是真的真的不行，反应问题后，没有结果，不是拖着就是得追着客服问。
51	价廉物美，内存大，外观设计感时尚，性能非常快！
52	物流超快，价格实惠，用了两天才评价，固态硬盘读写速度快，物有所值。
53	此用户没有填写评论!
54	👍👍👍👍👍👍👍非常流畅，很值
55	电脑挺好的虽然中间出了点岔子但经过跟客服的交流最后都解决了
56	质量非常好，第一次购买有很多不清楚的地方，客服都非常耐心地跟我解释了很多了，让我初步了解了这台电脑，也是这样的服务态度和商品质量足够好才让我下定决心买这台电脑这台电脑读过**常办公使用，然后用着非常流畅非常好看，轻巧便携。
57	包装不错，机子不错，手感不错，送的礼物啊电脑包啊不错，啥都不错，满意满意～
58	色制不错  屏幕也清晰  内存也足
59	很棒，画面清楚，开机快大气
60	画面清晰度很高，运行速度快。质量杠杠的
61	其他游戏玩起来不知道怎么样，和平精英真不能玩
62	此用户没有填写评论!
63	宝贝收到了，这是我第一次网上买电脑，质感非常不错，网速快
64	很不错的一款机子，物流也是很快的。到货后检测了一下是新机子，非常流畅本子运行很流畅，视频播放也很赞，丝滑不卡顿，很满意。刚拿回来用了下进网址个方面挺好的，办公起来特别方便，挺顺畅，买了这么多次电脑，这是我买的最实惠的一个，喜欢的快去看看吧
65	发货速度，质量非常好
66	电脑收到了，匀速快，功能各方面都很满意
67	此用户没有填写评论!
68	此用户没有填写评论!
69	实物和图片一样，质量很好，推荐购买
70	物流快，下单隔天就到。开机后还是很满意的，客服服务态度好，很周到。回复消息快，外观跟图片符合。
71	已经收到货啦 迫不及待的就试用了 我哥说挺好的 不卡顿 网速很快 给力
72	用了，不太好，不仅很容易发烫，还有噪音
73	宝贝很好的宝贝很漂亮宝贝很溜溜宝贝真不错 宝贝顶呱呱
74	质量杠杠的，运行速度快，颜色好看，值得信赖哦
75	此用户没有填写评论!
76	很不错，总是比较满意的，色彩也还不错，很满意的一次购物，也谢谢芈月客服周到的回复，
77	笔记本质量非常好，使用起来非常棒，好评
78	顺畅，物流超快  客服服务态度好
79	同学介绍的这款电脑学习用 非常好用安装方便 感谢客服大眼售后服务很好，还要介绍给我同学。
80	用了一段时间了，电脑不会卡，运行流畅。
81	商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒
82	购买的宝贝收到了，质量正品，很满意！
83	包装好配送及时，质量很好价格合理，使用方便值得购买
84	收到了，运行速度快，外观漂亮，很满意
85	家里有个台式，笔记本平时用不上，买来目前就是给孩子看奥特曼了，目前没做其他操作，看视频刘畅，声音音质不错，满意
86	发货很迅速，电脑反应灵敏，这个价格很划算
87	运行速度快，使用顺心
88	超级实惠的宝贝，物流超快！
89	存储空间大，运行速度快，外观好看性能好，值得购买
90	客服好电脑好都好都好还送了还多东西
91	用了这么久才来评价电脑开机挺快的服务态度也好
92	电脑质量非常好，反应快，很满意
93	赠送的礼品精美.电脑很漂亮 物流也跟给力 啊古朵客服很棒，电脑太棒了真的
94	电脑很漂亮 物流也跟给力 ，送的礼品也很好，也很喜欢
95	颜色好看，外观材质都很好，运行流畅，满意
96	发的顺丰快递，很快就到了，包装的很到位，商家服务态度很好，电脑很好用，会推荐朋友来买的
97	和卖家描述一样，机能不错，容量也高。
98	包装很好，屏幕清晰，功能也不错反应灵敏，很满意
99	显卡效果：6 电脑性能：电脑用了几天，开机比较快，网速也可以。高清屏视觉舒服，轻薄携带方便，移动办公挺不错的。
100	超级大大大大大屏幕：追剧网游，办公***呀，还支持语音输入，自身自带24K数字键盘，外加保护膜瞬间颜值翻倍，运行开机速度都很快，外加大内存而且很实惠爱了爱了，值得推荐
101	很不错 用起来很流畅 挺好
102	外观材质：外观很好看，特别高大上
103	物流快，性能很好，比实体店优惠，满意的一次购物
104	颜值高，运行速度棒棒哒，不卡，买的不错
105	超满意，运行流畅，操作舒适简单。
106	这款商品刚好满足了我对电脑的要求，低价高品质，电脑很棒，商家赠送的礼品精美 ，物流也跟给力 ，客服态度回答问题很耐心。
107	此用户没有填写评论!
108	买到了心仪的电脑，价格也实惠，非常满意，客服的服务态度特别好，值得信赖的品牌，宝子们，想买电脑的就选这个，物美价廉。
109	买的值了，是我想要的款，而且速度很快，价格实惠。
110	买到就是赚到了，性价比高，没有色差
111	开机很快，打游戏够速度，容易内存够大
112	卡的要*
113	此用户没有填写评论!
114	还不错，过年前收到，使用中。
115	物流很快，下单后第二天下午就到了，包装完好，机子的性能不错，跟预期的一样，这个性价比很高的
116	反应快，性价比高。
117	不错不错，性能可以，客服态度也很好。好评
118	本人不会表达，全五星好评吧！
119	非常喜欢这款电脑，轻薄，速度很快，方便随身携带，客服不错态度很好！还送了电脑背包！
120	物流很快几天就到了，内容量大，不卡，好用。
121	非常好电脑运行非常快
122	电脑收到没想到春节发货这么快点个赞，电脑也很好看开机网速快
123	挺好用的，用起来不卡顿，运行速度快，满意哒
124	过年送孩子的礼物，快递很给力年前给送到了，本本很不错，孩子很喜欢。
125	速度还可以，挺不错的
126	此用户没有填写评论!
127	性价比非常高，可以放心购买
128	蛮好的
129	好品质，非常喜欢的一款电脑，得心应手
130	很快就收到货了，质量很好，运行很快，很满意
131	外观大气，用于公办还是不错的
132	此用户没有填写评论!
133	质量好，运行速度快，性价比高满意
134	春节不打烊，让我在家也可以玩过够，满意满意。
135	电脑运行速度挺快的，很满意！
136	我是做设计的，必须用10专业版系统，看了很多家才觉得这家价位不贵 在这里安装，没想到系统让我很满意 我工作起来电脑也是非常快，也不卡 比我之前去电脑店里安装的强太多了。
137	今天拿快递了 好开心 是我喜欢的款 质量好 物流也快
138	运行速度很快，正品，值得购买
139	发货速度很快，两天就收到了，顺丰的效率不错。有送键盘防尘膜，鼠标和鼠标垫。开机设置完成后，打开电脑已经是分为CDE三个盘。不过就是没有Office办公软件，如果买这个收费也太贵了。先用一阵子看看性能如何。
140	内存大不卡顿款式好看性价比高特别好用
141	这款笔记本电脑没有让我失望，性价比高，好用
142	开箱过程，屏幕高清很大，颜色喜欢，侧键盘方便，整体来说还不错
143	过年买的，没打烊，谢谢店家，以后有需要还会再来的质量很好，喜欢
144	外观材质：外观非常漂亮 顺丰物流也很快，这个价钱可以买到这种电脑很实惠了，大家冲吧 显卡效果：挺不错的 电脑性能：挺不错的
145	运行状态噪音有点大，其他暂时无异常！
146	此用户没有填写评论!
147	笔记本电脑外观好看，运行快很流畅，物流也很快
148	质量好，价格便宜，开机运行快，不卡顿
149	此用户没有填写评论!
150	质量很不错，配置很好，颜值高的一款，满意。
151	特意用了几天才来评价的，用着还不错，开机速度也快。
152	拿来寒假给孩子上课刚好，不用盯着手机小屏幕，就是自带声音有点小，其它都满意
153	外观时尚，轻便好看，
154	物流很快，客服服务态度很好
155	不错，反应灵敏，*控性好，性价比高，满意
156	一如既往的好品质，非常喜欢的一款产品，非常棒
157	说起来，运势也是极为的不好，去年刚拍的新新的笔记本电脑就有丢了，这部朋友推荐我来这个店买了，回来之后，这个价格也是超值的东西，非常的好，包装也更是精美，已经用了两天了，才来评价的，反应挺快的，这个内存也够我用了
158	发货快，运行速度快，不卡顿
159	电脑收到了，打开包装外关看上去不错，开关机也挺快的，后台服务服务也挺好。
160	笔记本不错，满意好评。
161	非常感谢戴睿旗舰店提供的本本，这是一款性价比非常高的本本，颜值出众，运行速度出众，性能出众，给消费者提供了一个非常好的体验。 感谢戴睿旗舰店的每名工作人员，无论售前还是售后都是非常的专业，感谢安其拉，白起以及你们的客服团队，祝福戴睿旗舰店越来越好，虎年大吉大利。
162	超级好，谢谢店家，以后有需要还会再来的质量很好，喜欢
163	笔记本电脑好评呀 赞赞赞
164	1、笔记本整体外观时尚潮流，轻薄小巧，方便携带，整体配置较为不错，显示屏细节清晰盈亮，对于我办公商务绰绰有余，银色版更显高端大气，全尺寸键盘独树一帜，方便我平时出差进行移动网站优化等需求操作。 2、宝贝两天就到了，捯饬了一下午，觉得很满意，电脑的外观很漂亮，运行速度和内存都还蛮好的，适合我这种简单办公的需要。最后点赞客服，有问必答，服务态度很好，非常周到。满意的购物。 3、宝贝不错，运行流畅，无卡顿，毕竟和高端笔记本一样的处理器，这价位，这配置知足了，办公，处理下文档，很不错！而且是这价位边框最窄的了，便携，美观，于一身的，对比了很多家！客服很好！不错，满意！
165	看电影挺好的
166	从来不给差评，但是的确是没法，小问题没关系，你们的售后我很服气，说了一堆没用的，永远是那几句话
167	有赠品颜色很好
168	电脑性能：开机速度很快，顺风送货很快，整体是我喜欢的，试用了一下，很流畅，非常满意的一次购物，还有精美的赠品，喜欢的可以下单
169	本本用了段时间   快  也好用
170	挺好的，速度很快，用的挺舒服
171	家里电脑都可以换这个了  便宜方便
172	电脑收到了老公试了一下，很满意
173	很不错，很幸运，很及时。包装很严实，没有任何损坏，同时送货也很快捷，淘宝的物流服务品质就是高。这款笔记本电脑很轻薄，做工也很精湛，性能很强劲。除了商务办公之外，玩游戏看电影等等所有的需求都能满足。颜值也很高。
174	此用户没有填写评论!
175	客服服务态度很好，专业，确实跟描述的一样，值得购买
176	此用户没有填写评论!
177	电脑画面清晰，容量也够大，运行速度快，好用且实惠
178	运行速度流畅，性价比高。值得推荐
179	外观材质：轻巧好看，颜值高 电脑性能：不错
180	物流快，是正品，比实体店优惠，值得推荐
181	"很轻薄的本本, 非常实用性和颜值都非常的赞，我很喜欢，操作起来挺舒服的，它的键盘。用起来也挺顺手的，没有什么硌手感。屏幕尺寸也特别舒服，特别合适。背在书包里也不是很重，很适合出行旅行。整体感觉还是挺不错的。"
182	非常好，性价比很高，客服很有耐心
183	其他特色：不错  外观材质：好看 显卡效果：还可以 电脑性能：还可以
184	外观挺新颖的，画质非常清晰，非常不错的体验💌终于对它下手了，颜值是真的没话说❤，材质很好，物美价廉，趁活动赶紧囤起来
185	电脑收到了，是正品
186	其他特色：音响也挺好的 外观材质：颜色很好看 电脑性能：运行流畅
187	超乎想象✌️完美的购物！
188	速度很快，屏幕很清晰，值得购买
189	整体效果不错的，运行快，没有卡 价格比实体店便宜多了，是我喜欢的颜色，五星好评哈
190	质量不错！客服服务也可以！售后服务也不错！快递也及时送到位！产品也不错！
191	看起来还可以，一千多超值
192	一次不错的购物体验。
